 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 7.00 38.00 22.00 23.00 24.66 0.0 0.00 -56.0 6.561 200.607
 Schlum. VES 7.00 36.00 21.00 22.00 23.84 0.0 0.00 -56.0 29.882 826.952
 Schlum. VES 7.00 34.00 20.00 21.00 22.84 0.0 0.00 -56.0 6.275 157.117
 Schlum. VES 7.00 32.00 19.00 20.00 23.67 0.0 0.00 -56.0 41.250 854.093
 Schlum. VES 7.00 30.00 18.00 19.00 23.54 0.0 0.00 -56.0 6.523 114.935
 Schlum. VES 7.00 28.00 17.00 18.00 23.47 0.0 0.00 -56.0 57.589 847.839
 Schlum. VES 7.00 26.00 16.00 17.00 22.22 0.0 0.00 -56.0 6.447 82.032
 Schlum. VES 7.00 24.00 15.00 16.00 22.05 0.0 0.00 -56.0 38.217 392.021
 Schlum. VES 7.00 22.00 14.00 15.00 20.25 0.0 0.00 -56.0 10.866 94.377
 Schlum. VES 7.00 20.00 13.00 14.00 19.93 0.0 0.00 -56.0 18.495 122.431
 Schlum. VES 7.00 18.00 12.00 13.00 19.45 0.0 0.00 -56.0 13.752 66.621
 Schlum. VES 7.00 16.00 11.00 12.00 18.96 0.0 0.00 -56.0 21.915 72.635
 Schlum. VES 7.00 14.00 10.00 11.00 18.43 0.0 0.00 -56.0 6.599 13.502
 Schlum. VES 7.00 12.00 9.00 10.00 18.05 0.0 0.00 -56.0 6.123 6.394
 Schlum. VES 7.00 10.00 8.00 9.00 18.01 0.0 0.00 -56.0 17.821 6.216
 Schlum. VES 8.00 43.00 25.00 26.00 24.04 0.0 0.00 -56.0 21.133 845.021
 Schlum. VES 8.00 41.00 24.00 25.00 24.05 0.0 0.00 -56.0 0.928 32.986
 Schlum. VES 8.00 39.00 23.00 24.00 23.78 0.0 0.00 -56.0 21.261 674.006
 Schlum. VES 8.00 37.00 22.00 23.00 24.33 0.0 0.00 -56.0 35.350 958.613
 Schlum. VES 8.00 35.00 21.00 22.00 23.50 0.0 0.00 -56.0 5.016 122.069
 Schlum. VES 8.00 33.00 20.00 21.00 22.55 0.0 0.00 -56.0 36.081 784.210
 Schlum. VES 8.00 31.00 19.00 20.00 23.33 0.0 0.00 -56.0 7.381 131.207
 Schlum. VES 8.00 29.00 18.00 19.00 23.14 0.0 0.00 -56.0 15.831 236.467
 Schlum. VES 8.00 27.00 17.00 18.00 22.99 0.0 0.00 -56.0 30.079 369.918
 Schlum. VES 8.00 25.00 16.00 17.00 21.88 0.0 0.00 -56.0 12.360 127.758
 Schlum. VES 8.00 23.00 15.00 16.00 21.59 0.0 0.00 -56.0 22.202 180.930
 Schlum. VES 8.00 21.00 14.00 15.00 19.81 0.0 0.00 -56.0 13.809 91.990
 Schlum. VES 8.00 19.00 13.00 14.00 19.42 0.0 0.00 -56.0 14.502 70.375
 Schlum. VES 8.00 17.00 12.00 13.00 18.94 0.0 0.00 -56.0 15.272 50.672
 Schlum. VES 8.00 15.00 11.00 12.00 18.17 0.0 0.00 -56.0 11.705 24.284
 Schlum. VES 8.00 13.00 10.00 11.00 17.67 0.0 0.00 -56.0 5.875 6.266
