Injection timings : 
on	off	delay_ui	delay_m	interval_m	subinterval_m	per_meas	smpl_rate
400	400	300	10	50	5	12	1

Type	C1(x)	C1(y)	C1(z)	C2(x)	C2(y)	C2(z)	P1(x)	P1(y)	P1(z)	P2(x)	P2(y)	P2(z)	MP(x)	MP(y)	MP(z)	K	a	b	I	U	Rho	Sp	M	Z	P	D	M0	M1	M2	M3	M4	Channel	U/I gain	Filter (Fcut1)	Inj.U	Time
GND	310.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	310.00	0.00	0.00	1.00	5.00	5.00	5.67	60.00	10586.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:24
GND	315.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	315.00	0.00	0.00	1.00	5.00	5.00	5.79	60.00	10368.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 18:59:27
GND	320.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	320.00	0.00	0.00	1.00	5.00	5.00	0.03	60.00	1985408.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	10:10	3	0	03.03.2008 20:34:00
GND	325.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	325.00	0.00	0.00	1.00	5.00	5.00	5.62	60.00	10672.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:34:33
GND	330.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	330.00	0.00	0.00	1.00	5.00	5.00	4.77	60.00	12571.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:35:33
GND	335.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	335.00	0.00	0.00	1.00	5.00	5.00	4.30	60.00	13965.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:12
GND	340.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	340.00	0.00	0.00	1.00	5.00	5.00	4.92	60.00	12186.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:17
GND	345.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	345.00	0.00	0.00	1.00	5.00	5.00	5.76	60.00	10417.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:22
GND	350.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	350.00	0.00	0.00	1.00	5.00	5.00	7.39	60.00	8117.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:27
GND	355.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	355.00	0.00	0.00	1.00	5.00	5.00	6.72	60.00	8929.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:31
GND	360.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	360.00	0.00	0.00	1.00	5.00	5.00	4.67	60.00	12857.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:36
GND	365.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	365.00	0.00	0.00	1.00	5.00	5.00	5.83	60.00	10298.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:41
GND	370.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	370.00	0.00	0.00	1.00	5.00	5.00	7.15	60.00	8390.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:46
GND	375.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	375.00	0.00	0.00	1.00	5.00	5.00	4.87	60.00	12309.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:37:50
GND	380.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	380.00	0.00	0.00	1.00	5.00	5.00	5.46	60.00	10986.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:53
GND	385.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	385.00	0.00	0.00	1.00	5.00	5.00	5.26	60.00	11404.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:48
GND	390.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	390.00	0.00	0.00	1.00	5.00	5.00	6.17	60.00	9719.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:44
GND	395.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	395.00	0.00	0.00	1.00	5.00	5.00	5.84	60.00	10269.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:39
GND	400.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	400.00	0.00	0.00	1.00	5.00	5.00	5.76	60.00	10421.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:34
GND	405.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	405.00	0.00	0.00	1.00	5.00	5.00	5.59	60.00	10728.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:29
GND	410.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	410.00	0.00	0.00	1.00	5.00	5.00	5.76	60.00	10412.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:25
GND	415.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	415.00	0.00	0.00	1.00	5.00	5.00	6.05	60.00	9917.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:20
GND	420.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	420.00	0.00	0.00	1.00	5.00	5.00	5.76	60.00	10414.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:15
GND	425.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	425.00	0.00	0.00	1.00	5.00	5.00	6.97	60.00	8613.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3	1:10	3	0	03.03.2008 20:38:10
